年月日,平均気温(℃),降水量の合計(mm),最深積雪(cm),平均風速(m/s),最大風速(m/s)
2016/1/1,7.5,0,0,2.6,5.6
2016/1/2,7.3,0,0,1.9,5.2
2016/1/3,9.3,0,0,1.4,3.4
2016/1/4,9.2,0,0,1.6,3.1
2016/1/5,10.9,0,0,1.8,4
2016/1/6,8.9,0,0,1.9,3.9
2016/1/7,8.7,0,0,2.5,6
2016/1/8,6.8,0,0,1.8,3.2
2016/1/9,7.3,0,0,2.1,4.4
2016/1/10,7.9,0,0,2.2,4.4
2016/1/11,7.1,0,0,2.2,4
2016/1/12,3.4,0,0,2.1,4.5
2016/1/13,4.3,0,0,1.7,4
2016/1/14,6,0,0,2,4.6
2016/1/15,5.6,0,0,2.5,4.6
2016/1/16,6.5,0,0,1.9,4
2016/1/17,5.8,3,0,2.1,4.6
2016/1/18,2.8,67,6,3.7,7.7
2016/1/19,5.1,0,3,4,7.9
2016/1/20,4.1,0,1,4.3,9.7
2016/1/21,5.4,0,0,3.1,6.3
2016/1/22,5.8,0,0,3.1,5.4
2016/1/23,3.9,0,0,2.5,4.9
2016/1/24,3.3,0,0,3.6,8.6
2016/1/25,2.9,0,0,2.9,6.9
2016/1/26,3.8,0,0,2,3.6
